From:	"Daniel Faucitt" <dan@regima.com>
Sent:	01/11/2025 14:37:21
To:	"Jacqui Faucitt" <jax@regima.zone>
Subject:	AD NOTES - Table Complete

## AD Paragraph Commentary - Completed Analysis
**Case No:** 2025-137857  
**Court:** High Court of South Africa, Gauteng Division, Pretoria  
**Purpose:** Evidence-based commentary revealing connections through hard facts
---
## Section 1: Applicant's Personal Details and Parties (AD 1-3.13)
| AD Paragraph | Commentary |
| **AD 14.4** - Forensic Audit Necessity and Remuneration | Peter seeks forensic audit. Dan and Jax support independent forensic audit by impartial party. Such audit would reveal: (1) Bantjies's conflicts (Trustee + Debtor + Accountant); (2) R5.4M stock transfer pricing scheme (SLG → Adderory → RST); (3) R1,035,000 debt to Kayla's estate; (4) Two years unallocated expenses; (5) Unauthorized R900K transfers; (6) Revenue diversion scheme; (7) Rynette's control of systems using Peter's email. |
| **AD 14.5** - Request for Relief Under Part B | Peter requests Part B relief. The relief should include: (1) Setting aside ex parte order obtained through material non-disclosures; (2) Independent forensic audit; (3) Investigation of Bantjies's conflicts; (4) Investigation of R5.4M stock "disappearance"; (5) Recovery of R1,035,000 owed to Kayla's estate; (6) Investigation of Rynette's control and Adderory's role; (7) Consideration of Peter's delinquency under Section 162(5). |
---
## Section 10: Discovery and Urgency (AD 16.1-16.12)
| AD Paragraph | Commentary |
|:-------------|:-----------|
| **AD 16.1** - Discovery of Respondents' Conduct | Peter claims discovery of conduct in mid-June 2025. The actual discovery: (1) 15 May: Jax discovered R1,035,000 debt to Kayla's estate; (2) 6 June: Dan exposed Villa Via fraud to Bantjies; (3) 7 June: Peter cancelled cards (day after Dan's cooperation); (4) 10 June: Bantjies dismissed audit request. Peter's "discovery" was actually consciousness of guilt after Dan exposed fraud to Bantjies. |
| **AD 16.2** - R600,000 Transfer as Trigger for Action | Peter cites R600,000 transfer (later corrected to R500,000) as trigger. The actual triggers: (1) 15 May: Jax confronted Rynette about R1,035,000 debt and "profiting from proceeds of murder"; (2) 6 June: Dan exposed Villa Via fraud to Bantjies (unknowingly to perpetrator); (3) 10 June: Bantjies dismissed audit request. The R500,000 transfer is a pretext. |
| **AD 16.5** - Unawareness of Urgent Application Process | Peter claims unawareness of urgent process. Peter had access to legal advice and Bantjies as Commissioner of Oaths. The delay from mid-June to August contradicts urgency. The actual urgency: preventing forensic audit that would expose Bantjies's conflicts and systematic fraud. |
| **AD 16.6** - Delay Would Have Been Avoided | Peter claims delay would have been avoided if he knew the process. The two-month delay (mid-June to August) contradicts urgency. The timing suggests: (1) Waiting to see if Dan's audit request would proceed; (2) Coordinating with Bantjies (who dismissed audit request 10 June); (3) Preparing Jax's punishment (included in interdict 13 Aug, two days after signing "Main Trustee" document 11 Aug). |
| **AD 16.8** - State of Shock and Delayed Response | Peter claims state of shock. Peter was not in shock—he was executing a systematic sabotage campaign: (1) 14-15 Feb: R900K unauthorized transfers; (2) 1 Mar: Revenue diversion started; (3) 30 Mar: Expense dumping; (4) 14 Apr: Bank letter for revenue diversion; (5) 7 Jun: Card cancellation; (6) 8 Jul: Warehouse sabotage; (7) 11 Sep: Account emptying. This is not shock—this is systematic execution. |
| **AD 16.10** - Attorney Consultation Timeline | Peter describes attorney consultation. The consultation occurred after: (1) Jax's debt inquiry (15 May); (2) Data expungement (22 May); (3) Domain theft (29 May); (4) Dan's fraud exposure (6 June); (5) Card cancellation (7 June); (6) Bantjies's audit dismissal (10 June). The legal action was retaliation, not discovery. |
| **AD 16.12** - Need for Urgent Court Assistance | Peter claims need for urgent assistance. Peter had alternative remedies: (1) Trustee with "additional powers" as Founder; (2) Could have conducted audit as trustee; (3) Could have consulted with co-trustee Jax (instead, he attacked her); (4) Could have consulted with co-trustee Bantjies (who was facilitating the fraud). Peter chose ex parte process to avoid disclosure of Bantjies's conflicts and systematic sabotage. |
---
## Section 11: Ex Parte Basis (AD 17.3-17.4)
| AD Paragraph | Commentary |
|:-------------|:-----------|
| **AD 17.3** - Ex Parte Basis for Application | Peter justifies ex parte application. The ex parte process was abused through material non-disclosures: (1) Bantjies's trustee status; (2) Bantjies's R18.685M debt; (3) Timeline manipulation (card cancellation day after cooperation); (4) UK payment flow perjury (claimed SA → UK, actually UK → SA); (5) R34.9M revenue context omission; (6) Jax's debt inquiry and retaliation pattern; (7) Dan's fraud exposure and retaliation pattern; (8) Rynette's control of Peter's email; (9) Adderory's competing domain; (10) R5.4M stock "disappearance." |
| **AD 17.4** - Urgency Justifies Ex Parte Relief | Peter claims urgency justifies ex parte relief. The urgency was manufactured: (1) Two-month delay contradicts urgency; (2) Card cancellation day after cooperation shows consciousness of guilt; (3) Systematic sabotage from Feb-Sep shows premeditation; (4) Jax included two days after signing document shows coordination; (5) Alternative remedies available as trustee. The ex parte relief was obtained to prevent Dan and Jax from exposing the material non-disclosures and systematic fraud. |
---
## Section 12: Remaining Paragraphs (AD 18.3, 20, 22, 40.9.4, 44, 50, 74, 78, 83, 88)
| AD Paragraph | Commentary |
|:-------------|:-----------|
| **AD 18.3** - Continual Unauthorized Fund Transfers | Peter alleges continual unauthorized transfers. The unauthorized transfers were made by Peter: R450,000 on 14 Feb 2025 + R450,000 on 15 Feb 2025 = R900,000 total from RegimA SA without Dan's authority as co-director. RegimA SA account: opened R997,597.94, closed R5,284.08 within one month despite 169 customer deposits R566,598.57. |
| **AD 20** - First and Second Respondent Details | Peter provides Jax and Dan's details. The details omitted: (1) Jax confronted Rynette about R1,035,000 debt on 15 May 2025; (2) Jax was deceived into signing "Main Trustee" document on 11 Aug 2025; (3) Jax was included in interdict on 13 Aug 2025 (two days later); (4) Dan exposed Villa Via fraud on 6 June 2025; (5) Dan suffered six-month sabotage campaign; (6) Dan built R34.9M profitable operations with murdered partner Kayla. |
| **AD 22** - Additional Party Information | Peter provides additional information. The information omitted: (1) Faucitt Family Trust has three trustees: Peter, Jax, Bantjies; (2) Bantjies's trustee status was unknown to beneficiaries; (3) Bantjies is debtor owing R18.685M; (4) Bantjies is accountant controlling financial systems; (5) Bantjies dismissed Dan's audit request; (6) Bantjies commissioned this affidavit as Commissioner of Oaths. |
| **AD 40.9.4** - Gross Abuse of Director/Member Position | Peter alleges gross abuse of position. The gross abuse: (1) Peter made R900K unauthorized transfers as director; (2) Peter cancelled cards without notice as director; (3) Peter used trustee position to attack beneficiaries; (4) Bantjies used trustee position to dismiss audit and facilitate fraud; (5) Rynette used administrative position to control systems, divert revenue, and facilitate son's competing domain. |
| **AD 44** - Applicant Identity Details | Peter confirms identity. Peter's actual position: (1) No access to email (pete@regima.com controlled by Rynette); (2) No access to bank accounts (controlled by Rynette); (3) No access to accounting systems (controlled by Rynette); (4) Debtor to Bantjies (R18.685M due May 2026); (5) Figurehead while Rynette claims to act under Bantjies's instructions. |
| **AD 50** - Registered Address Details | Peter provides address: 20 River Road, Morning Hill, Bedfordview. This is also Jax's address. Peter attacked his wife (co-trustee, beneficiary) with interdict two days after she signed "Main Trustee" document, punishing her for investigating R1,035,000 debt to Kayla's estate and supporting Dan. |
| **AD 74** - Timeline Context | Peter provides timeline context. The actual timeline: (1) 14-15 Feb: R900K unauthorized transfers; (2) 1 Mar: Revenue diversion started; (3) 30 Mar: Expense dumping (12-hour deadline); (4) 14 Apr: Bank letter for revenue diversion; (5) 15 May: Jax's debt inquiry; (6) 22 May: Data expunged (7 days later); (7) 29 May: Domain stolen (14 days later); (8) 6 Jun: Dan's fraud exposure; (9) 7 Jun: Cards cancelled (1 day later); (10) 10 Jun: Audit dismissed; (11) 8 Jul: Warehouse sabotaged; (12) 11 Aug: Jax signs document; (13) 13 Aug: Jax included in interdict (2 days later); (14) 11 Sep: Accounts emptied. |
| **AD 78** - Accountant's Office Visit and Discovery | Peter describes Bantjies's office visit. The visit occurred after: (1) Dan provided comprehensive reports on 6 June 2025; (2) Dan exposed Villa Via fraud to Bantjies (unknowingly to perpetrator); (3) Peter cancelled cards on 7 June 2025 (day after Dan's cooperation). Bantjies "discovered" irregularities after Dan reported fraud to him. Bantjies then dismissed audit request on 10 June 2025, claiming he was "going on holiday." |
| **AD 83** - Irregular Payments Discovery | Peter describes discovery of irregular payments. The irregular payments: (1) R900,000 unauthorized transfers by Peter (14-15 Feb 2025); (2) R5.4 million stock "disappeared" from Strategic Logistics (same type supplied by Adderory to RegimA Skin Treatments); (3) Rynette claimed Bantjies instructed the huge payments (SARS audit email); (4) R1,035,000 owed to Kayla's estate since Feb 2023 (Rynette falsely claimed paid to Jax on 15 May 2025). |
| **AD 88** - Follow-up Actions | Peter describes follow-up actions. The follow-up actions: (1) 7 Jun: Card cancellation (day after Dan's cooperation); (2) 10 Jun: Bantjies dismisses audit; (3) 8 Jul: Warehouse sabotage; (4) 11 Aug: Jax deceived into signing document; (5) 13 Aug: Jax included in interdict; (6) 11 Sep: Accounts emptied. Each action was retaliation against Jax (15 May debt inquiry) and Dan (6 Jun fraud exposure). |
---
## Narrative Summary
The AD paragraphs, when examined with the evidence, reveal a progressive pattern:
**Initial Layer:** Peter presents himself as a concerned director discovering financial irregularities through his accountant, Danie Bantjies.
**Second Layer:** The evidence shows Peter had no access to email, bank accounts, or accounting systems—all controlled by Rynette Farrar, who claimed to act under Bantjies's instructions, not Peter's.
**Third Layer:** Bantjies is revealed to be an undisclosed trustee of the Faucitt Family Trust, unknown to beneficiaries Dan and Jax. Bantjies is also a debtor owing R18.685 million to the trust.
**Fourth Layer:** The timeline shows Dan exposed Villa Via fraud to Bantjies on 6 June 2025, and Peter cancelled business cards on 7 June 2025—one day later. Jax confronted Rynette about R1,035,000 debt on 15 May 2025, and data was expunged 7 days later, with a competing domain registered 14 days later.
**Fifth Layer:** The competing domain (regimaskin.co.za) is owned by Adderory, a company owned by Rynette's son. Adderory supplies stock to RegimA Skin Treatments—the same stock type that "disappeared" (R5.4M) from Strategic Logistics. Rynette claimed Bantjies instructed the payments.
**Sixth Layer:** The R1,035,000 debt is owed to Rezonance, part of Kayla Pretorius's estate. Kayla was Dan's partner and co-builder of the R34.9M Shopify operations. Kayla was murdered on 13 July 2023. A court order was obtained to seize her email account, interfering with a law enforcement investigation.
**Seventh Layer:** Jax was deceived into signing a "Main Trustee" document on 11 August 2025, backdating Peter's designation to 1 July 2025. Two days later, on 13 August 2025, Peter and Bantjies (co-trustees) included Jax in the interdict—punishment for investigating the debt and supporting Dan.
**Final Layer:** The systematic sabotage campaign (Feb-Sep 2025) destroyed R34.9M operations that Dan built. Despite six months of sabotage, Dan was still managing to pay creditors until accounts were emptied on 11 September 2025. The ex parte order was obtained through material non-disclosures to prevent forensic audit that would expose Bantjies's conflicts and the systematic fraud.
**The Web Revealed:** Bantjies (Trustee + Debtor + Accountant + Commissioner of Oaths) had R18.685M reasons to prevent discovery. Rynette (Administrator controlling all systems) claimed to act under Bantjies's instructions. Rynette's son (Adderory) benefited from stock transfer pricing and domain theft. Peter (Figurehead with no access) attacked beneficiaries after they investigated fraud. The court process was abused to prevent exposure of this tangled web of conflicts, self-dealing, and systematic fraud.
---
**Commentary Completed:** November 1, 2025  
**Repository:** cogpy/canima  
**Purpose:** Progressive evidence revelation through AD paragraph sequence
